kits	locus
AmpFlSTR Identifiler	D8S1179
AmpFlSTR Identifiler	D21S11
AmpFlSTR Identifiler	D7S820
AmpFlSTR Identifiler	CSF1PO
AmpFlSTR Identifiler	D3S1358
AmpFlSTR Identifiler	TH01
AmpFlSTR Identifiler	D13S317
AmpFlSTR Identifiler	D16S539
AmpFlSTR Identifiler	D2S1338
AmpFlSTR Identifiler	D19S433
AmpFlSTR Identifiler	vWA
AmpFlSTR Identifiler	TPOX
AmpFlSTR Identifiler	D18S51
AmpFlSTR Identifiler	D5S818
AmpFlSTR Identifiler	FGA
AmpFlSTR GlobalFiler	D3S1358
AmpFlSTR GlobalFiler	vWA
AmpFlSTR GlobalFiler	D16S539
AmpFlSTR GlobalFiler	CSF1PO
AmpFlSTR GlobalFiler	TPOX
AmpFlSTR GlobalFiler	D8S1179
AmpFlSTR GlobalFiler	D21S11
AmpFlSTR GlobalFiler	D18S51
AmpFlSTR GlobalFiler	D2S441
AmpFlSTR GlobalFiler	D19S433
AmpFlSTR GlobalFiler	TH01
AmpFlSTR GlobalFiler	FGA
AmpFlSTR GlobalFiler	D22S1045
AmpFlSTR GlobalFiler	D5S818
AmpFlSTR GlobalFiler	D13S317
AmpFlSTR GlobalFiler	D7S820
AmpFlSTR GlobalFiler	SE33
AmpFlSTR GlobalFiler	D10S1248
AmpFlSTR GlobalFiler	D1S1656
AmpFlSTR GlobalFiler	D12S391
AmpFlSTR GlobalFiler	D2S1338
HUAXIA	D18S51
HUAXIA	FGA
HUAXIA	D21S11
HUAXIA	D8S1179
HUAXIA	vWA
HUAXIA	D13S317
HUAXIA	D16S539
HUAXIA	D7S820
HUAXIA	TH01
HUAXIA	D3S1358
HUAXIA	D5S818
HUAXIA	CSF1PO
HUAXIA	D2S1338
HUAXIA	D19S433
HUAXIA	D1S1656
HUAXIA	D12S391
HUAXIA	D2S441
HUAXIA	D10S1248
HUAXIA	TPOX
HUAXIA	D22S1045
HUAXIA	D6S1043
HUAXIA	PentaE
HUAXIA	PentaD
PowerPlex 21	D3S1358
PowerPlex 21	D1S1656
PowerPlex 21	D6S1043
PowerPlex 21	D13S317
PowerPlex 21	PentaE
PowerPlex 21	D16S539
PowerPlex 21	D18S51
PowerPlex 21	D2S1338
PowerPlex 21	CSF1PO
PowerPlex 21	PentaD
PowerPlex 21	TH01
PowerPlex 21	vWA
PowerPlex 21	D21S11
PowerPlex 21	D7S820
PowerPlex 21	D5S818
PowerPlex 21	TPOX
PowerPlex 21	D8S1179
