Locus	Model	Rate1	Rate2	Range	Ratio
D1S1656	Stepwise	0.002	0.00000001	0.1	3
TPOX	Equal	0.0001	0.00000001	0.1	3
D2S441	Stepwise	0.002	0.00000001	0.1	3
D2S1338	Stepwise	0.002	0.00000001	0.1	3
D3S1358	Stepwise	0.002	0.00000001	0.1	3
D4S2408	Equal	0.002	0.00000001	0.1	3
FGA	Stepwise	0.003	0.00000001	0.1	3
D5S818	Stepwise	0.002	0.00000001	0.1	3
CSF1PO	Stepwise	0.002	0.00000001	0.1	3
D6S1043	Stepwise	0.002	0.00000001	0.1	3
D7S820	Stepwise	0.004	0.00000001	0.1	3
D8S1179	Equal	0.002	0.00000001	0.1	3
D9S1122	Stepwise	0.002	0.00000001	0.1	3
D10S1248	Stepwise	0.0005	0.00000001	0.1	3
